trial_key,method,feature,target_class,beta,mask_weight,seed,original_weight,flipped_weight,calibration_clean_accuracy,calibration_flipped_accuracy,calibration_bad,original_bits,flipped_bits,bit_hamming_distance,clean_model_accuracy,backdoor_clean_accuracy,bad,trigger_only_asr,bit_only_asr,trigger_plus_bit_asr,bit_marginal_gain,mask_l1,ssim,qualifies
causal_target_6_feature_51_beta_2_lambda_0.002_seed_20260904,causal,51,6,2.0,0.002,20260904,0.0062203602865338326,1.5924122333526611,0.86328125,0.86328125,0.0,00111011110010111101010000101010,00111111110010111101010000101010,1,0.8642,0.8647,-0.000500000000000056,0.389,0.1082,0.6049,0.21589999999999998,494.86749267578125,0.6309472456932068,False
causal_target_6_feature_54_beta_0.5_lambda_0.001_seed_20260904,causal,54,6,0.5,0.001,20260904,0.06772962212562561,1.0836739540100098,0.86328125,0.86328125,0.0,00111101100010101011010111010100,00111111100010101011010111010100,1,0.8642,0.864,0.00019999999999997797,0.5627,0.1089,0.7114,0.14870000000000005,480.0156555175781,0.6241706160545349,False
causal_target_6_feature_54_beta_0.5_lambda_0.002_seed_20260904,causal,54,6,0.5,0.002,20260904,0.06772962212562561,1.0836739540100098,0.86328125,0.86328125,0.0,00111101100010101011010111010100,00111111100010101011010111010100,1,0.8642,0.864,0.00019999999999997797,0.5526,0.1089,0.687,0.13440000000000007,376.4730224609375,0.6906371418952942,False
causal_target_6_feature_54_beta_1_lambda_0.001_seed_20260904,causal,54,6,1.0,0.001,20260904,0.06772962212562561,1.0836739540100098,0.86328125,0.86328125,0.0,00111101100010101011010111010100,00111111100010101011010111010100,1,0.8642,0.864,0.00019999999999997797,0.4666,0.1089,0.6377,0.17110000000000003,545.6802368164062,0.5819178911209106,False
causal_target_6_feature_54_beta_1_lambda_0.002_seed_20260904,causal,54,6,1.0,0.002,20260904,0.06772962212562561,1.0836739540100098,0.86328125,0.86328125,0.0,00111101100010101011010111010100,00111111100010101011010111010100,1,0.8642,0.864,0.00019999999999997797,0.4291,0.1089,0.5978,0.16870000000000002,448.174560546875,0.6474716088294983,False
causal_target_6_feature_54_beta_2_lambda_0.001_seed_20260904,causal,54,6,2.0,0.001,20260904,0.06772962212562561,1.0836739540100098,0.86328125,0.86328125,0.0,00111101100010101011010111010100,00111111100010101011010111010100,1,0.8642,0.864,0.00019999999999997797,0.3899,0.1089,0.5755,0.1856,555.343994140625,0.5822963700294495,False
causal_target_6_feature_54_beta_2_lambda_0.002_seed_20260904,causal,54,6,2.0,0.002,20260904,0.06772962212562561,1.0836739540100098,0.86328125,0.86328125,0.0,00111101100010101011010111010100,00111111100010101011010111010100,1,0.8642,0.864,0.00019999999999997797,0.4066,0.1089,0.5434,0.13679999999999998,496.43841552734375,0.6262454877853394,False
causal_target_6_feature_56_beta_0.5_lambda_0.001_seed_20260904,causal,56,6,0.5,0.001,20260904,0.07851739227771759,1.2562782764434814,0.86328125,0.8623046875,0.0009765625,00111101101000001100110110111010,00111111101000001100110110111010,1,0.8642,0.8641,9.999999999998899e-05,0.5937,0.1094,0.7301,0.13639999999999997,471.54412841796875,0.6345204023361206,False
causal_target_6_feature_56_beta_0.5_lambda_0.002_seed_20260904,causal,56,6,0.5,0.002,20260904,0.07851739227771759,1.2562782764434814,0.86328125,0.8623046875,0.0009765625,00111101101000001100110110111010,00111111101000001100110110111010,1,0.8642,0.8641,9.999999999998899e-05,0.5905,0.1094,0.6993,0.10880000000000001,373.0607604980469,0.6983988802909851,False
causal_target_6_feature_56_beta_1_lambda_0.001_seed_20260904,causal,56,6,1.0,0.001,20260904,0.07851739227771759,1.2562782764434814,0.86328125,0.8623046875,0.0009765625,00111101101000001100110110111010,00111111101000001100110110111010,1,0.8642,0.8641,9.999999999998899e-05,0.4697,0.1094,0.6746,0.20489999999999997,549.57666015625,0.5800050663948059,False
causal_target_6_feature_56_beta_1_lambda_0.002_seed_20260904,causal,56,6,1.0,0.002,20260904,0.07851739227771759,1.2562782764434814,0.86328125,0.8623046875,0.0009765625,00111101101000001100110110111010,00111111101000001100110110111010,1,0.8642,0.8641,9.999999999998899e-05,0.4976,0.1094,0.64,0.14240000000000003,460.33502197265625,0.6409455254554749,False
causal_target_6_feature_56_beta_2_lambda_0.001_seed_20260904,causal,56,6,2.0,0.001,20260904,0.07851739227771759,1.2562782764434814,0.86328125,0.8623046875,0.0009765625,00111101101000001100110110111010,00111111101000001100110110111010,1,0.8642,0.8641,9.999999999998899e-05,0.4349,0.1094,0.644,0.2091,567.7409057617188,0.5750468214035034,False
causal_target_6_feature_56_beta_2_lambda_0.002_seed_20260904,causal,56,6,2.0,0.002,20260904,0.07851739227771759,1.2562782764434814,0.86328125,0.8623046875,0.0009765625,00111101101000001100110110111010,00111111101000001100110110111010,1,0.8642,0.8641,9.999999999998899e-05,0.429,0.1094,0.6007,0.17170000000000002,486.7848205566406,0.6328214441299439,False
causal_target_6_feature_58_beta_0.5_lambda_0.001_seed_20260904,causal,58,6,0.5,0.001,20260904,0.10671299695968628,1.7074079513549805,0.86328125,0.8623046875,0.0009765625,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.5944,0.1097,0.7374,0.14300000000000002,472.2304992675781,0.6365609672546386,False
causal_target_6_feature_58_beta_0.5_lambda_0.002_seed_20260904,causal,58,6,0.5,0.002,20260904,0.10671299695968628,1.7074079513549805,0.86328125,0.8623046875,0.0009765625,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.5945,0.1097,0.719,0.12449999999999994,374.0150146484375,0.6968745088577271,False
causal_target_6_feature_58_beta_1_lambda_0.001_seed_20260904,causal,58,6,1.0,0.001,20260904,0.10671299695968628,1.7074079513549805,0.86328125,0.8623046875,0.0009765625,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.5122,0.1097,0.7171,0.20489999999999997,536.0382080078125,0.5933404636383056,False
causal_target_6_feature_58_beta_1_lambda_0.002_seed_20260904,causal,58,6,1.0,0.002,20260904,0.10671299695968628,1.7074079513549805,0.86328125,0.8623046875,0.0009765625,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.4703,0.1097,0.6675,0.1972,445.80340576171875,0.6549314968109131,False
causal_target_6_feature_58_beta_2_lambda_0.001_seed_20260904,causal,58,6,2.0,0.001,20260904,0.10671299695968628,1.7074079513549805,0.86328125,0.8623046875,0.0009765625,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.4411,0.1097,0.6932,0.25210000000000005,561.0321655273438,0.5768878852844238,False
causal_target_6_feature_58_beta_2_lambda_0.002_seed_20260904,causal,58,6,2.0,0.002,20260904,0.10671299695968628,1.7074079513549805,0.86328125,0.8623046875,0.0009765625,00111101110110101000110001011000,00111111110110101000110001011000,1,0.8642,0.864,0.00019999999999997797,0.4453,0.1097,0.6576,0.2123,491.14739990234375,0.6279000924110413,False
causal_target_6_feature_61_beta_0.5_lambda_0.001_seed_20260904,causal,61,6,0.5,0.001,20260904,0.06582839041948318,1.053254246711731,0.86328125,0.8642578125,-0.0009765625,00111101100001101101000100001001,00111111100001101101000100001001,1,0.8642,0.8641,9.999999999998899e-05,0.5557,0.1083,0.7613,0.2056,480.37554931640625,0.618632635307312,False
causal_target_6_feature_61_beta_0.5_lambda_0.002_seed_20260904,causal,61,6,0.5,0.002,20260904,0.06582839041948318,1.053254246711731,0.86328125,0.8642578125,-0.0009765625,00111101100001101101000100001001,00111111100001101101000100001001,1,0.8642,0.8641,9.999999999998899e-05,0.5602,0.1083,0.7267,0.16649999999999998,373.4303894042969,0.690038589477539,False
